COMPANYID,CASENO,PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,STAGECODE,FLAGCODE,PROCESSCODE,PROCESSSERNO,SHOPCODE,WORKCODE,SECTCODE,PLANSTARTDATE,PLANFINISHDATE,PLANDURATION,LAG,MH1,VOL1,VOL2,RELATIONTYPE,PREVSTAGECODE,PREVFLAGCODE,PREVPROCESSCODE,PREVPROCESSSERNO,RELATIONNO
D,2020-36-04,5466,C834CC00,834,B,J,C,C,C00,CTS,CCBK,2100,2019-11-27,2019-12-30,23,-14,28.9,129.4,0,SS,B,S,A,000,1114171301
D,2020-36-04,5466,P541BP00,541,B,B,P,B,P00,NTA,PBPT,6200,2020-01-07,2020-01-14,6,1,107.9,4275,4345.5,FS,B,P,B,C00,1114171887
D,2020-36-04,5466,P661BP00,661,B,B,P,B,P00,NO1,PBPT,6200,2019-12-06,2019-12-17,8,1,96.3,4758.4,4890,FS,B,P,B,C00,1114171999
D,2020-36-04,5466,P823BC00,823,B,B,P,B,C00,NO1,PBBT,6200,2020-01-23,2020-01-23,1,3,64.5,1927,2046.1,FS,B,Z,Z,BI0,1114172028
D,2020-36-04,5466,C171CC00,171,B,J,C,C,C00,CTS,CCBK,2100,2019-09-19,2019-10-17,20,-11,12.3,99.9,0,SS,B,S,A,000,1114170973
D,2020-36-04,5466,W9X1GB00,9X1,B,B,W,G,B00,SHD,WBAD,9999,2019-08-14,2019-09-11,20,-19,0.1,0,0,FS,B,S,A,000,1114172604
D,2020-36-04,5466,W671GA00,671,B,A,W,G,A00,OOS,WBHD,3103,2019-11-28,2019-12-02,3,1,5.1,0,0,FS,B,S,A,000,1114172506
D,2020-36-04,5466,Z654ZBR0,654,B,B,Z,Z,BR0,NO1,ESCF,2901,2020-01-30,2020-01-31,2,1,36.3,357.3,0,FS,B,P,B,P00,1114172918
D,2020-36-04,5466,P109BC00,109,B,B,P,B,C00,NO1,PBBT,6200,2020-01-06,2020-01-06,1,7,88.3,1681.4,2572.5,FS,B,Z,Z,BI0,1114171660
D,2020-36-04,5466,S824A000,824,B,B,S,A,000,NPS,SBBK,####,2019-12-06,2019-12-31,17,,741.5,1581.8,0,,,,,,
D,2020-36-04,5466,Z152ZBI0,152,B,B,Z,Z,BI0,NO1,ESCF,2901,2019-11-08,2019-11-11,2,1,33.1,166.1,0,FS,B,W,G,B00,1114172673
D,2020-36-04,5466,Z263ZBR0,263,B,B,Z,Z,BR0,NO1,ESCF,2901,2019-12-09,2019-12-09,1,1,14.2,137.5,0,FS,B,P,B,P00,1114172748
D,2020-36-04,5466,P834BC00,834,B,B,P,B,C00,NO1,PBBT,6200,2020-01-23,2020-01-23,1,3,33.1,1063.4,1426.3,FS,B,Z,Z,BI0,1114172040
D,2020-36-04,5466,P284BP01,284,B,B,P,B,P01,NO1,PBPT,6200,2020-01-22,2020-01-23,2,1,0,0,0,FS,B,Z,Z,BR0,1114171826
D,2020-36-04,5466,P294BP01,294,B,B,P,B,P01,NO1,PBPT,6200,2020-01-22,2020-01-23,2,1,0,0,0,FS,B,Z,Z,BR0,1114171832
D,2020-36-04,5466,C652CP00,652,B,J,C,C,P00,CTS,CPBK,2100,2019-11-19,2019-12-11,17,-1,0,0,0,SS,J,C,C,C00,1114171212
D,2020-36-04,5466,C921CC00,921,B,J,C,C,C00,SHD,CCBK,9999,2019-07-17,2019-08-20,14,-7,84.7,55.3,0,SS,B,S,A,000,1114171321
D,2020-36-04,5466,C113CC00,113,B,J,C,C,C00,CTS,CCBK,2100,2019-10-17,2019-11-28,31,-7,98.1,132.5,0,SS,B,S,A,000,1114170933
D,2020-36-04,5466,C654CC00,654,B,J,C,C,C00,CTS,CCBK,2100,2019-11-27,2019-12-19,17,-7,51.6,289.1,0,SS,B,S,A,000,1114171215
