COMPANYID,RELATIONNO,CASENO,PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,RELATIONTYPE,PITCH,LAG,NETWORKID,LOCATIONCODE,LOCATIONTYPE,CREATEDATE,CREATEUSER,UPDATEDATE,UPDATEUSER,FLAGCODE,PROCESSCODE,PROCESSSERNO
D,1114172056,2020-36-04,5466,P910BC00,P910BP00,FS,,1,,910,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172057,2020-36-04,5466,W913GB00,P913BC00,FS,,1,,913,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172058,2020-36-04,5466,P913BC00,P913BP00,FS,,1,,913,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172059,2020-36-04,5466,W914GB00,P914BC00,FS,,1,,914,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172060,2020-36-04,5466,P914BC00,P914BP00,FS,,1,,914,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114318450,2020-36-04,5466,W91AOP00,P91APP00,FS,,-21,,91A,P,2020-04-21,1008003,,,,,
D,1114172062,2020-36-04,5466,W921GB00,P921BC00,FS,,1,,921,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172063,2020-36-04,5466,P921BC00,P921BP00,FS,,1,,921,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172064,2020-36-04,5466,W922GB00,P922BC00,FS,,1,,922,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172065,2020-36-04,5466,P922BC00,P922BP00,FS,,1,,922,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172066,2020-36-04,5466,W923GB00,P923BC00,FS,,1,,923,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172067,2020-36-04,5466,P923BC00,P923BP00,FS,,1,,923,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172068,2020-36-04,5466,W931GB00,P931BC00,FS,,1,,931,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172069,2020-36-04,5466,P931BC00,P931BP00,FS,,1,,931,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172070,2020-36-04,5466,W932GB00,P932BC00,FS,,1,,932,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172071,2020-36-04,5466,P932BC00,P932BP00,FS,,1,,932,B,2020-04-20,1007589,2020-04-20,1007589,,,
