PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,LOCATIONCODE,LAG,LOCATIONTYPE,RELATIONTYPE
5466,S742A000,W742GC00,742,4,B,SS
5466,S743A000,W743GA00,743,-1,B,FS
5466,S743A000,W743GC00,743,4,B,SS
5466,S744A000,W744GA00,744,-4,B,FS
5466,S751A000,W751GA00,751,-4,B,FS
5466,S752A000,W752GA00,752,-4,B,FS
5466,S752A000,W752GC00,752,4,B,SS
5466,S753A000,W753GA00,753,-1,B,FS
5466,S753A000,W753GC00,753,4,B,SS
5466,S754A000,W754GA00,754,-4,B,FS
5466,S801A000,W801GA00,801,-1,B,FS
5466,S801A000,W801GC00,801,4,B,SS
5466,S802A000,W802GA00,802,-1,B,FS
5466,S802A000,W802GS00,802,0,B,SS
5466,S803A000,W803GA00,803,-1,B,FS
5466,S804A000,W804GA00,804,-1,B,FS
5466,S805A000,W805GA00,805,-1,B,FS
5466,E80AP000,W80AOP00,80A,0,P,SS
5466,E80BP000,W80BOP00,80B,0,P,SS
5466,E80CP000,W80COP00,80C,0,P,SS
5466,E80DP000,W80DOP00,80D,0,P,SS
5466,S811A000,W811GA00,811,-4,B,FS
5466,S812A000,W812GA00,812,-19,B,FS
5466,S822A000,W822GA00,822,-1,B,FS
5466,S822A000,W822GC00,822,4,B,SS
5466,S823A000,W823GA00,823,-4,B,FS
5466,S823A000,W823GC00,823,4,B,SS
5466,S823A000,W823GS00,823,0,B,SS
5466,S824A000,W824GA00,824,-4,B,FS
5466,S824A000,W824GC00,824,4,B,SS
5466,S825A000,W825GA00,825,-1,B,FS
5466,S825A000,W825GC00,825,4,B,SS
5466,S825A000,W825GS00,825,0,B,SS
5466,S826A000,W826GA00,826,-1,B,FS
5466,S826A000,W826GC00,826,4,B,SS
5466,S826A000,W826GS00,826,0,B,SS
5466,S832A000,W832GA00,832,-1,B,FS
5466,S832A000,W832GC00,832,4,B,SS
5466,S833A000,W833GA00,833,-4,B,FS
5466,S833A000,W833GC00,833,4,B,SS
5466,S834A000,W834GA00,834,-4,B,FS
5466,S834A000,W834GC00,834,4,B,SS
5466,S835A000,W835GA00,835,-1,B,FS
5466,S835A000,W835GC00,835,4,B,SS
5466,S836A000,W836GA00,836,-1,B,FS
5466,S836A000,W836GC00,836,4,B,SS
5466,S836A000,W836GS00,836,0,B,SS
5466,S8X1A000,W8X1GA00,8X1,-19,B,FS
5466,S904A000,W904GB00,904,-6,B,FS
5466,S905A000,W905GB00,905,-6,B,FS
5466,S906A000,W906GB00,906,-6,B,FS
5466,E90AP000,W90AOP00,90A,0,P,SS
5466,S910A000,W910GB00,910,-34,B,FS
5466,S913A000,W913GB00,913,-6,B,FS
5466,S914A000,W914GB00,914,-6,B,FS
5466,E91AP000,W91AOP00,91A,0,P,SS
5466,S921A000,W921GB00,921,-6,B,FS
5466,S922A000,W922GB00,922,-6,B,FS
5466,S923A000,W923GB00,923,-6,B,FS
5466,S931A000,W931GB00,931,-6,B,FS
5466,S932A000,W932GB00,932,-6,B,FS
5466,S933A000,W933GB00,933,-6,B,FS
5466,S941A000,W941GB00,941,-6,B,FS
5466,S942A000,W942GB00,942,-6,B,FS
5466,S951A000,W951GB00,951,-6,B,FS
5466,S952A000,W952GB00,952,-6,B,FS
5466,S981A000,W981GB00,981,-31,B,FS
5466,S991A000,W991GB00,991,-31,B,FS
5466,S9X1A000,W9X1GB00,9X1,-19,B,FS
