PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,DESCRIPTION,PLANDURATION,물량,단위, 작업장
5466,C135CC00,135,B,135 BLK J Stage 절단,34,76.2,TON,가공-상선-절단
5466,P212BP00,212,B,212 BLK B Stage 선행 도장,6,7841.7,M2,선행도장-상선-도장
5466,C426CC00,426,B,426 BLK J Stage 절단,8,66.6,TON,가공-상선-절단
5466,C102CC00,102,B,102 BLK J Stage 절단,29,164.1,TON,가공-상선-절단
5466,Z144ZBI0,144,B,144 BLK B Stage 발판 설치,3,338,매,발판지원-상선 일반발판
5466,C624CC00,624,B,624 BLK J Stage 절단,14,234.2,TON,가공-상선-절단
5466,W639GA00,639,B,639 BLK A Stage 대조 의장 ('A'),13,370.6,KG,조립의장-상선관철
5466,Z284ZBR0,284,B,284 BLK B Stage 발판 해체,1,185.2,매,발판지원-상선 일반발판
5466,Z106ZBR0,106,B,106 BLK B Stage 발판 해체,1,66.5,매,발판지원-상선 일반발판
5466,W424GA00,424,B,424 BLK A Stage 대조 의장 ('A'),3,1254.8,KG,조립의장-상선관철
5466,W523GC00,523,B,523 BLK C Stage 중조 의장 ('C'),7,276.1,KG,조립의장-상선관철
5466,S244A000,244,B,244 BLK B Stage 조립,15,1866.8,JL,조립1-PBS
5466,W834GC00,834,B,834 BLK C Stage 중조 의장 ('C'),9,1080,KG,조립의장-상선관철
5466,W212GC00,212,B,212 BLK C Stage 중조 의장 ('C'),7,6729,KG,조립의장-상선관철
5466,S273A000,273,B,273 BLK B Stage 조립,23,2051.4,JL,조립5-조립 GBS
5466,P651BP00,651,B,651 BLK B Stage 선행 도장,7,6479.4,M2,선행도장-상선-도장
5466,P221BC00,221,B,221 BLK B Stage 선행 도장 전처리,1,2891.2,M2,선행도장-상선-전처리
5466,Z529ZBI0,529,B,529 BLK B Stage 발판 설치,1,40.5,매,발판지원-상선 일반발판
5466,W155GS00,155,B,155 BLK S Stage 소조 의장 ('S'),30,1,LOT,사외-선행의장 기장-(주)퍼쉬 (안정공장)
5466,C155CC00,155,B,155 BLK J Stage 절단,30,75.3,TON,가공-상선-절단
5466,W155GC00,155,B,155 BLK C Stage 중조 의장 ('C'),30,1,LOT,사외-선행의장 기장-(주)퍼쉬 (안정공장)
5466,C734CP00,734,B,734 BLK J Stage 절단 전처리,14,0,TON,가공-상선-전처리
5466,W110GB00,110,B,110 BLK B Stage 의장 ('B'),2,137.92,KG,선행의장-상선 기장(POS)
5466,P113BP00,113,B,113 BLK B Stage 선행 도장,6,3073.1,M²,사외-선행도장-(주)퍼쉬 (안정공장)
5466,C629CC00,629,B,629 BLK J Stage 절단,14,245.7,TON,가공-상선-절단
5466,C233CC00,233,B,233 BLK J Stage 절단,14,122,TON,가공-상선-절단
5466,Z544ZBR0,544,B,544 BLK B Stage 발판 해체,1,42.7,매,발판지원-상선 일반발판
5466,S671A000,671,B,671 BLK B Stage 조립,20,2157.3,JL,해양조립-조립-해양제작 1공장
5466,C221CC00,221,B,221 BLK J Stage 절단,14,149.6,TON,가공-상선-절단
5466,C523CC00,523,B,523 BLK J Stage 절단,14,262.6,TON,가공-상선-절단
5466,P914BC00,914,B,914 BLK B Stage 선행 도장 전처리,1,0,0,사외-선행도장 전처리-신한기계-선실용
5466,P622BP00,622,B,622 BLK B Stage 선행 도장,7,5074.3,M2,선행도장-상선-도장
5466,W623GC00,623,B,623 BLK C Stage 중조 의장 ('C'),7,676,KG,조립의장-상선관철
5466,W193GS00,193,B,193 BLK S Stage 소조 의장 ('S'),20,60.17,KG,사외-선행의장-기장-신한기계
